ID	Feature_short	Feature	PoS	Function	Level
TE039	VowelLength	Is there vowel length distinction?	not assignable	phonological distinctiveness	phonological shape
TE040	DerivCausPostV	Are causative posture verbs derived and static-dynamic verbs basic?	verb	NA	NA
TE041	SiblFM	Is there a male/female distinction in the sibling terms from the perspective of the speaker?	NA	NA	NA
TE042	AgeDistSibl	Is there an age distinction in sibling terms?	NA	NA	NA
TE043	NounsDerVerbs	Are nouns most commonly derived from verbs than the other way around?	NA	NA	NA
TE044	HandArm	Are ‘hand’ and ‘arm’ expressed by the same term?	NA	NA	NA
TE045	MoonMonth	Are ‘moon’ and ‘month’ expressed by the same term?	NA	NA	NA
TE046	PluralAnim	Is there a plural/collective suffix that is restricted to animates?	noun	number	NA
TE047	EvenAlso	Can scalar additive operators (‘even’) also be used in non-scalar contexts (also)?	NA	NA	NA
TE048	ReflPossAff	Is there a reflexive-possessive affix?	NA	possession	NA
TE049	DemVerb	Are demonstratives verbally encoded?	demonstrative	deixis	NA
TE050	PlNounAfterNum	Do cardinal numerals require agreement on noun phrases?	noun	number	NP
TE051	NomUnmarked	Is nominative case unmarked?	noun	argument marking (core)	word
TE052	AccObjSpecific	Are accusative-marked objects specific while unmarked objects are non-specific?	multiple	argument marking (core)	word
TE053	RecipLocSame	Are recipient and location expressed by the same marker?	multiple	argument marking (non-core)	word
TE054	PolarContInterr	Is there a distinction between marking of interrogation in polar and content questions?	multiple	interrogation	clause
TE055	PassAgentDat	Is acting agent in passive clause expressed by a dative-marked noun phrase?	multiple	valency	clause
TE056	SBJAdnGen	Is the subject of an adnominalized clause marked by the genitive case?	multiple	argument marking (core)	clause
TE057	PassAdvers	Can a passive construction have adversative meaning?	NA	valency	NA
TE058	DemInterrToDo	Can demonstrative/interrogative verbs be derived from pronouns and light verbs ‘to do’?	verb	other	NA
TE059	CausPassSame	Are causative and passive expressed by a formally identical marker?	verb	valency	word
TE060	ConverbDeverb	Are converb suffixes and deverbal noun suffixes formally identical?	multiple	NA	word
TE061	QuotSay	Are quotative markers adverbial derivations from a verb ‘to say’?	verb	NA	NA
TE062	BottomLoc	Can relational adpositions (e.g. ‘under’) be derived from a place noun (e.g. ‘bottom’) and a locational suffix (e.g. at LOC)?	other	argument marking (non-core)	word
TE063	ConvSay	Are hortatives/purposives encoded by the same marker (eventually involving a converb of the verb ‘to say’)?	verb	NA	NA
TE064	DenomVBLZ	Are denominal verbalizers and deverbal suffixes sharing comparable actional semantics expressed by the same marker?	verb	NA	NA
TE065	Itisbecoming	Is ‘it is becoming if’ grammaticalized in deontic modality?	verb	NA	NA
TE066	VRoot2SGImper	Is imperative form for 2SG identical to bare verb root?	verb	TAME	word
TE067	VPrsIdentPrsPron	Is person marking on the verb formally identical to independent personal pronouns?	verb	NA	NA
TE068	CompSee	Is there a comparative construction that employs a marker of the standard which elsewhere has a meaning ‘to see’?	verb	NA	clause
TE069	CopulaPostV	Can a copula be derived from original posture verbs?	NA	NA	NA
TE070	SubjWant	Can the notional subject of a want complement clause be expressed overtly when it is coreferential with the wanter?	NA	NA	NA
TE071	FootLeg	Are ‘foot’ and ‘leg’ expressed by the same term?	noun	NA	NA
TE072	BalancedPurpCl	Are there balanced purpose clauses?	NA	NA	NA
TE073	AdposVerb	Is there an adposition or a particle formally similar to the verb?	other	NA	NA
TE074	ComplPutThrow	Is completive aspect expressed by a marker formally identical to the verb ’to put/throw away’?	verb	TAME	clause
TE076	AdposCoreNP	Are there adpositions to mark core NPs?	other	argument marking (core)	NP
TE077	AdposOblNP	Are there adpositions to mark oblique NPs?	other	argument marking (non-core)	NP
TE078	Stops3LarContr	Are there three laryngeal contrasts for stops?	not assignable	phonological distinctiveness	phonological shape
TS001	NumNoun	Can numeral precede the noun?	not assignable	word order	NP
TS002	NounNum	Can numeral follow the noun?	not assignable	word order	NP
TS003	DemN	Can demonstrative precede the noun?	not assignable	word order	NP
TS004	NounDem	Can demonstrative follow the noun?	not assignable	word order	NP
TS005	PossPossessed	Can adnominal possessor precede the possessed noun?	not assignable	word order	NP
TS006	PossessedPoss	Can adnominal possessor follow the possessed noun?	not assignable	word order	NP
TS007	AdjNoun	Can adnominal property word precede the noun?	not assignable	word order	NP
TS008	NounAdj	Can adnominal property word follow the noun?	not assignable	word order	NP
TS009	AllNoun	Can adnominal collective universal quantifier (‘all’) precede the noun?	not assignable	word order	NP
TS010	NounAll	Can adnominal collective universal quantifier (‘all’) follow the noun?	not assignable	word order	NP
TS079	VHheight	Is there height vowel harmony?	not assignable	phonological distinctiveness	phonological shape
TS080	VHLabial	Is there labial vowel harmony?	not assignable	phonological distinctiveness	phonological shape
TS081	InitialL	Is there an initial l-?	not assignable	phonological distinctiveness	phonological shape
TS082	NumAttrPred	Do numerals have the same form in attributive and predicative use?	numeral	NA	word
TS083	Hunt	Is the meaning ‘to hunt’ expressed as noun+denominalizer?	verb	other	word
TS083	InstCom	Are instrumental and comitative expressed by the same marker?	multiple	argument marking (non-core)	word
TS084	TrySee	Are the meanings ‘to see’ and ‘to try’ expressed by formally identical verbs?	verb	other	word
TS085	PossSuffPrf	What is the order of personal possessive suffixes and case suffixes?	not assignable	word order	word
TS086	SV	Is the pragmatically unmarked order of SV in intransitive clauses?	not assignable	word order	clause
TS087	VS	Is the pragmatically unmarked order of VS in intransitive clauses?	not assignable	word order	clause
TS088	AspiratedStops	Is there an aspiration distinction in stops?	not assignable	phonological distinctiveness	phonological shape
